Tipologia,Nome,X,Y,Indirizzo,Civ,Note,Shape Area,Shape Len,Longitudine,Latitudine
Aree verdi,alberata di corso Umberto I Santo Spirito,,,,,,1.225.783.011.000.000,116.586.020.000.000,,
Aree verdi,Aiuole piazza San Francesco d'Assisi - Largo Colombo (Piazza dei Mille),,,Lungomare C. Colombo,,,402.766.548.000.000,28.814.507.700.000,,
Aree verdi,Alberata Via V. Veneto e Via G. Priolo - Palese,,,,,,2.369.162.776.000.000,225.451.541.900.000,,
Aree verdi,Alberata Via Modugno e via Vittorio Emanuele - Palese,,,,,,256.542.078.000.000,46.437.705.300.000,,
Aree verdi,"Giardino ""Monumento ai Caduti"" - Palese",,,Via Duca d'Aosta e via Indipendenza,,,201.489.106.000.000,19.659.632.700.000,,
Aree verdi,Piazza Capitaneo - Palese,,,Piazza Capitaneo,,,214.249.595.000.000,20.506.140.000.000,,
Aree verdi,Area attrezzata a verde quartiere Catino,,,Strada Catino,,,60.878.554.000.000,13.374.072.500.000,,
Aree verdi,Area attrezzata a verde via Nicolas Green a Catino,,,Nicolas Green,,,2.200.032.538.000.000,72.067.318.400.000,,
Aree verdi,Alberata limitrofa campo sportivo- Enziteto in via Gregorio Ancona,,,,,,247.642.428.000.000,40.873.657.900.000,,
Aree verdi,Alberata Via G. Garibaldi - Santo Spirito,,,,,,578.117.852.000.000,87.801.214.800.000,,
Aree verdi,Alberata via Salvatore Tramonte,,,,,,1.630.971.329.000.000,153.588.652.500.000,,
Aree verdi,Alberata di via Pellegrini,,,Via Pellegrini,,,131.784.717.000.000,33.923.447.600.000,,
Aree verdi,Alberata viale Lucarelli,,,,,,901.571.877.000.000,192.705.713.100.000,,
Aree verdi,Alberata e isole spartitraffico viale Ennio,,,,,,1.588.990.465.000.000,124.343.474.900.000,,
Aree verdi,Alberata in via Peucetia (tratto cpmpreso tra via Masaniello e viale Magna Grecia),,,,,,441.226.783.000.000,125.299.845.900.000,,
Aree verdi,Alberata in via Peucetia tratto compreso tra viale Magna Grecia e via Salapia),,,,,,566.012.440.000.000,68.389.096.800.000,,
Aree verdi,Alberata II traversa Via Fontanelle - Via dell'Olio,,,,,,698.375.814.000.000,63.783.600.500.000,,
Aree verdi,Alberata viale Salandra,,,,,,973.548.983.000.000,142.931.040.200.000,,
Aree verdi,Alberata in via Papa Giovanni XXIII,,,,,,448.180.814.000.000,137.153.375.500.000,,
Aree verdi,"Aiuole di via S. Matarrese, via Redi e della trav. di via C. Rosalba al civ. 49/d",,,,,,668.767.025.000.000,75.386.657.900.000,,
Aree verdi,Alberi sparsi in via Camillo Rosalba,,,,,,686.652.853.000.000,99.001.070.600.000,,
Aree verdi,Alberata in via Di Venere e via Romito - Ceglie del Campo,,,,,,541.580.970.000.000,83.402.913.200.000,,
Aree verdi,Alberata di via Aristosseno,,,Via Aristosseno,,,111.353.453.000.000,21.154.383.100.000,,
Aree verdi,Alberata di via Peucetia (tratto compreso tra via Salapia e Strada Arginale),,,,,,794.348.904.000.000,95.911.806.200.000,,
Aree verdi,Area attrezzata a verde compresa tra via Caldarola e via Caduti Partigiani,,,Via Caldarola - Via Caduti Partigiani,,,141.538.977.000.000,15.052.279.800.000,,
Aree verdi,Area attrezzata a verde in via Caldarola e via Martiri di Marzabotto,,,,,,1.171.794.754.000.000,94.923.933.600.000,,
Aree verdi,Area attrezzata a verde dei fascioni laterale di via Caldarola,,,,,,5.800.598.252.000.000,394.783.732.800.000,,
Aree verdi,Giardino di via Papalia ang. via P.Carabellese,,,Via Papalia,,,297.763.066.000.000,24.591.398.000.000,,
Aree verdi,Alberata di via Caldarola ( tratto compreso tra via Martiri di Marzabotto e via Loiacono ),,,,,,1.274.662.997.000.000,126.388.698.700.000,,
Aree verdi,Pineta San Luca ( compresa tra le vie Archimede - G.Appulo - G.La Pira,,,,,,1.765.078.117.000.000,66.927.773.600.000,,
Aree verdi,Giardini della Torre - Torre a Mare,,,Piazza della Torre,,,570.272.710.000.000,34.813.077.800.000,,
Aree verdi,Giardino in viale Unita' d'Italia ( tra via Toti - Galiani - Volta ),,,,,,171.880.335.000.000,22.938.601.100.000,,
Aree verdi,Giardino di via M.C. di Savoia,,,Via Re David,,,259.415.855.000.000,25.882.623.900.000,,
Aree verdi,Alberata di viale della Repubblica,,,,,,498.863.775.000.000,140.161.822.000.000,,
Aree verdi,Giardino in viale Einaudi ( tra via Colajanni e via Salvemini ),,,,,,248.582.216.000.000,24.006.896.600.000,,
Aree verdi,Aiuole in via Amendola private,,,,,,141.716.214.000.000,22.149.654.300.000,,
Aree verdi,Alberata di via Don Luigi Sturzo e via Papa Giovanni XXIII,,,,,,617.538.135.000.000,101.753.412.000.000,,
Aree verdi,Aiuola spartitraffico di viale G. Di Vittorio,,,Via G. Di Vittorio - Largo San Marcello I -,,,457.816.338.000.000,67.142.075.300.000,,
Aree verdi,Giardino adiacente Chiesa Russa (compreso tra viale della Repubblica e corso Benedetto Croce),,,Via A. de Gasperi,,,587.195.698.000.000,58.764.266.700.000,,
Aree verdi,Alberata stradale di via Signorile,,,,,,172.268.422.000.000,24.831.997.300.000,,
Aree verdi,Alberata Corso Benedetto Croce nei pressi della Chiesa Russa,,,,,,165.528.503.000.000,51.646.449.900.000,,
Aree verdi,Alberata spartitraffico di via Luigi Einaudi c/o Largo II Giugno,,,,,,212.919.199.000.000,43.147.797.600.000,,
Aree verdi,Alberata di via Omodeo,,,,,,850.431.896.000.000,120.785.165.400.000,,
Aree verdi,Alberata di via Quarto,,,,,,108.987.294.000.000,30.515.907.400.000,,
Aree verdi,Alberata di via Giulio Petroni ang. via Papa Giovanni XXIII,,,,,,107.560.923.000.000,38.140.826.500.000,,
Aree verdi,Area attrezzata a verde di Piazzale Pugliese  lato sud - Mungivacca,,,,,,348.462.617.000.000,25.072.363.900.000,,
Aree verdi,Area attrezzata a verde  in via Amendola (interno condominio Executive Center),,,,,,261.611.670.000.000,20.466.535.400.000,,
Aree verdi,Aiuole in via Amendola n.118,,,,,,199.577.035.000.000,36.920.174.800.000,,
Aree verdi,Alberata di via Pavoncelli,,,,,,906.359.852.000.000,46.719.029.200.000,,
Aree verdi,Area  a verde in corso A. de Gasperi compresa tra via Morea e v.le Kennedy,,,,,,49.821.710.000.000,10.888.585.300.000,,
Aree verdi,Giardini di piazza IV Novembre,,,,,,262.279.193.000.000,22.099.973.600.000,,
Aree verdi,Giardini di largo Adua,,,,,,245.906.461.000.000,22.626.853.500.000,,
Aree verdi,Alberata di piazza A. Diaz,,,,,,503.245.902.000.000,39.847.630.900.000,,
Aree verdi,Alberata di piazza Risorgimento,,,,,,232.853.020.000.000,19.316.536.700.000,,
Aree verdi,Alberata di via Putignani (tratto compreso tra via Manzoni e via Q. Sella),,,,,,575.854.213.000.000,57.693.924.100.000,,
Aree verdi,Giardini di piazza Diaz (lungomare A. di Crollalanza ang. via A. Diaz ),,,,,,224.363.550.000.000,31.047.025.100.000,,
Aree verdi,Alberata di viale Magna Grecia (tratto compreso tra via Peucetia e viale Japigia),,,,,,102.190.908.000.000,41.161.370.900.000,,
Aree verdi,Alberata via Gentile,,,,,,4.486.888.969.000.000,385.302.340.000.000,,
Aree verdi,Area attrezzata a verde comprese tra  Chiesa e scuole - Enziteto,,,,,,6.479.341.277.000.000,99.786.264.800.000,,
Aree verdi,Giardino San Pio,,,,,,1.674.189.705.000.000,62.604.286.900.000,,
Aree verdi,Area a verde Villa Giustiniani,,,,,,331.393.941.000.000,35.754.294.100.000,,
Aree verdi,Alberata Via Napoli,,,,,,1.769.629.067.000.000,166.287.734.300.000,,
Aree verdi,Scuola Media Statale (succ.) U. Fraccacreta,,,Via Volpe e via Monte Sabotino,,,363.054.954.000.000,29.150.462.500.000,,
Aree verdi,Area attrezzata a verde Enziteto urbano - zona Sviba,,,,,,693.443.489.000.000,51.618.308.800.000,,
Aree verdi,Direzione Didattico XII Circolo - Scuola Elementare Roberto Bonghi,,,Via Achille Pascale,,,838.306.242.000.000,48.221.622.000.000,,
Aree verdi,Scuola Media Statale Aldo Moro,,,Via Dalmazia,,,484.395.298.000.000,33.652.628.500.000,,
Aree verdi,Parco Due Giugno ( lato sud ),,,Viale della Costituente,,,5.715.337.320.000.000,100.144.251.400.000,,
Aree verdi,Scuola Elementare Emanuele Filiberto Duca D'Aosta,,,,,,543.932.211.000.000,30.592.865.400.000,,
Aree verdi,Scuola Media Statale U. Fraccacreta,,,Via Giuseppe Volpe,,,585.442.409.000.000,32.353.438.700.000,,
Aree verdi,"Scuola Elementare, materna e media di Catino",,,Strada Catino,,,1.662.280.470.000.000,57.503.979.500.000,,
Aree verdi,Scuola Materna Arcobaleno,,,Via Dalmazia,,,436.112.850.000.000,32.053.419.600.000,,
Aree verdi,Pineta Via Conte Mossa,,,Via Giuseppe Lembo,,,535.271.604.000.000,31.901.989.700.000,,
Aree verdi,Scuola Elementare Marco Polo,,,Trav. al n. 160 di corso Vittorio Emanuele,,,608.961.813.000.000,34.340.821.400.000,,
Aree verdi,Alberata Via delle Regioni,,,,,,1.566.252.828.000.000,230.865.000.700.000,,
Aree verdi,Parco urbano Giovanni Paolo II (ex Parco Europa),,,Viale Europa,,,3.681.970.572.000.000,113.193.370.600.000,,
Aree verdi,Giardino di piazza G. Romita,,,Piazza Romita,,,1.716.684.819.000.000,55.398.236.900.000,,
Aree verdi,Scuola materna Antonio Lanave,,,,,,910.147.390.000.000,36.502.844.100.000,,
Aree verdi,Scuola media Statale L. Lombardi,,,,,,990.664.803.000.000,39.317.014.600.000,,
Aree verdi,Direzione didattica Statale Circolo XXIII Petrignani,,,Via Cosenza - Via Catanzaro,,,736.622.695.000.000,38.743.248.300.000,,
Aree verdi,Scuola elementare Statale Cep 3 Plesso Don Lorenzo Milani,,,,,,779.648.159.000.000,39.378.547.600.000,,
Aree verdi,"Aiuole spartitraffico fra via Don Gnocchi, S. d'Alessio, e C. Massa; Area attrezzata a verde interne al mercato coperto di via Don Gnocchi",,,,,,4.501.051.795.000.000,311.194.470.200.000,,
Aree verdi,Scuola materna e elementare Breda,,,,,,1.395.428.397.000.000,49.630.854.800.000,,
Aree verdi,Giardino sede II Circoscrizione,,,Via Vincenzo Ricchioni,,,2.161.883.017.000.000,86.860.000.900.000,,
Aree verdi,Scuola media Azzarita De Filippo,,,,,,818.121.079.000.000,40.968.207.400.000,,
Aree verdi,Scuola elementare e materna Chiaia,,,Viale Puglia,,,644.888.639.000.000,34.699.541.700.000,,
Aree verdi,Alberata via Bruno Buozzi e sottovia B.Buozzi,,,,,,2.906.213.961.000.000,297.266.468.400.000,,
Aree verdi,Alberata via Giulio Petroni,,,,,,64.713.623.000.000,22.100.688.100.000,,
Aree verdi,Scuola elementare e materna Lopolo,,,,,,264.447.048.000.000,26.390.256.000.000,,
Aree verdi,Alberata viale Puglia,,,,,,393.079.868.000.000,123.526.551.600.000,,
Aree verdi,"Scuola elementare Statale ""G. Falcone"" e Scuola materna Statale ""Paolo Borsellino""",,,Via Cassala,,,1.569.768.870.000.000,53.424.266.200.000,,
Aree verdi,Scuola Media Statale G.M.Massari,,,,,,516.026.402.000.000,30.445.894.500.000,,
Aree verdi,Giardino in via O. Flacco (antistante ex ospedale Cotugno),,,,,,443.553.734.000.000,74.514.401.000.000,,
Aree verdi,Alberi isolati in via Campione e via De Gemmis,,,,,,119.505.322.000.000,42.949.174.000.000,,
Aree verdi,Alberata via J.F. Kennedy,,,,,,543.473.482.000.000,174.403.388.800.000,,
Aree verdi,Area via Papa Pio XII c/o Bar Moderno,,,,,,82.967.716.000.000,20.475.006.600.000,,
Aree verdi,Alberata in via De Gemmis,,,,,,115.157.432.000.000,32.007.677.200.000,,
Aree verdi,Alberata in via Mastrandrea,,,,,,63.229.568.000.000,11.874.717.200.000,,
Aree verdi,Alberata e aiuola spartitraffico in viale G. Pasteur,,,,,,1.507.749.230.000.000,117.803.980.200.000,,
Aree verdi,Alberata in viale O. Flacco,,,,,,854.329.449.000.000,235.159.241.300.000,,
Aree verdi,Scuola Elementare Montello,,,,,,378.640.347.000.000,30.410.598.200.000,,
Aree verdi,Alberata in via Calvario (prol.to  via Mitolo),,,,,,145.370.980.000.000,66.669.086.000.000,,
Aree verdi,Alberata in via Concilio Vaticano II,,,,,,148.855.594.000.000,46.995.989.700.000,,
Aree verdi,Alberata in viale de Laurentis,,,,,,2.547.611.813.000.000,219.229.702.900.000,,
Aree verdi,Alberata di viale M. Gandhi - viale Madre Teresa di Calcutta,,,,,,3.566.716.348.000.000,198.561.955.900.000,,
Aree verdi,Area attrezzata a verde via Lucarelli - via Don Guanella,,,,,,345.945.832.000.000,38.044.649.500.000,,
Aree verdi,Area attrezzata a verde via Lucarelli - de Laurentis - Mitolo,,,,,,1.409.174.367.000.000,243.536.106.400.000,,
Aree verdi,Alberata via Mitolo,,,,,,1.304.422.604.000.000,168.858.205.900.000,,
Aree verdi,Area spartitraffico in via C. Rosalba (sv. Tangenziale),,,,,,256.417.586.000.000,28.737.775.800.000,,
Aree verdi,Alberata in via Di Cagno e via Carrante,,,,,,291.940.007.000.000,85.893.627.000.000,,
Aree verdi,Area attrezzata a verde limitrofe viale M. Gandhi - viale Madre Teresa di Calcutta,,,,,,886.069.148.000.000,109.738.680.400.000,,
Aree verdi,Area attrezzata a verde via C. Rosalba ang. via Bonomo,,,,,,135.276.820.000.000,19.403.505.300.000,,
Aree verdi,Area a verde in via Di Cagno,,,,,,206.491.613.000.000,25.146.814.400.000,,
Aree verdi,Parco Don Tonino Bello - viale Gandhi,,,Via G. Petroni,,,1.250.666.229.000.000,57.664.233.000.000,,
Aree verdi,Alberata via S. Tommaso d'Aquino,,,,,,327.904.731.000.000,98.166.666.200.000,,
Aree verdi,"Area attrezzata a verde comprese tra viale Madre Teresa di Calcutta, stradella del CaffS e via San Tommaso d'Aquino",,,,,,738.982.963.000.000,46.119.906.600.000,,
Aree verdi,Area attrezzata a verde comprese tra via Di Cagno - via Dioguardi - viale de Laurentis,,,,,,1.055.863.521.000.000,69.491.317.100.000,,
Aree verdi,Aree a verde comprese tra via Mitolo e via Lucarelli,,,,,,1.273.800.396.000.000,62.970.376.500.000,,
Aree verdi,Giardino degli aquiloni (via Devitofrancesco),,,Via Devitofrancesco,,,703.637.969.000.000,42.085.190.200.000,,
Aree verdi,Aiuole di via Lucarelli fronte civici 7 e 13/b,,,Via Lucarelli c/o Bar Lucarelli,,,392.961.276.000.000,25.198.699.100.000,,
Aree verdi,Aiuola di via Redi ang. via S. Mattarrese,,,Via Pappacena - Via Rodolfo Redi - Via Matarrese,,,107.373.484.000.000,15.405.840.900.000,,
Aree verdi,Scuola materna Poggiofranco Parrocchia,,,,,,178.993.165.000.000,25.043.579.300.000,,
Aree verdi,Scuola centro Colli Grisoni - sede ASL,,,,,,992.398.442.000.000,39.946.634.100.000,,
Aree verdi,Scuola media Statale G. Galilei,,,,,,646.940.963.000.000,44.373.434.000.000,,
Aree verdi,Scuola materna J. F. Kennedy,,,,,,357.896.418.000.000,32.475.451.600.000,,
Aree verdi,Alberata corso Alcide de Gasperi,,,,,,2.299.013.427.000.000,261.448.023.000.000,,
Aree verdi,Scuola elementare Carrante,,,,,,1.048.729.217.000.000,44.047.440.300.000,,
Aree verdi,Giardino di piazza Umberto I-Carbonara,,,Piazza Umberto I,,,1.928.131.970.000.000,161.101.715.900.000,,
Aree verdi,Scuola materna Comunale Saverio Lioce,,,,,,144.613.019.000.000,16.303.294.300.000,,
Aree verdi,Scuola elementare Anna Frank Poggiofranco II,,,,,,403.566.703.000.000,26.160.039.400.000,,
Aree verdi,Scuola elementare San  Filippo Neri,,,,,,837.338.383.000.000,37.941.464.800.000,,
Aree verdi,Giardino di piazza Vittorio Emanuele - Ceglie del Campo,,,Piazza Vittorio Emanuele,,,309.964.835.000.000,22.007.192.400.000,,
Aree verdi,Alberatura via Valenzano - Loseto,,,,,,129.706.863.000.000,25.925.554.400.000,,
Aree verdi,Piazza Vittorio Emanuele - Loseto,,,,,,206.961.605.000.000,22.065.920.400.000,,
Aree verdi,Giardino Green Mission - Santa Rita,,,Via dello Scoglio-Santa Rita,,,1.092.470.924.000.000,42.632.811.700.000,,
Aree verdi,Aiuole C.da Ferrigni,,,,,,176.197.677.000.000,16.752.236.100.000,,
Aree verdi,Alberata di Via Venezia - Carbonara,,,Via Venezia c/o Cimitero,,,415.082.834.000.000,46.765.971.200.000,,
Aree verdi,"Scuola materna ""Ceglie"" via della Rai",,,,,,241.002.281.000.000,20.041.674.300.000,,
Aree verdi,Giardino di via Di Venere - Ceglie del Campo,,,,,,82.057.865.000.000,12.900.639.300.000,,
Aree verdi,Scuola elementare XVI Circolo - Ceglie del Campo,,,,,,486.638.707.000.000,29.075.033.200.000,,
Aree verdi,Area attrezzata a verde ed alberate limitrofe Stadio San Nicola,,,,,,13.577.995.066.000.000,609.514.005.800.000,,
Aree verdi,Scuola elementare Armando Diaz,,,,,,461.067.533.000.000,48.447.177.000.000,,
Aree verdi,"Scuola media ""A. Manzoni""",,,Via Quaranta,,,797.071.437.000.000,44.738.976.700.000,,
Aree verdi,Scuola elementare Santa Rita,,,,,,461.299.734.000.000,43.390.578.500.000,,
Aree verdi,Scuola media G. De Marinis,,,,,,1.106.510.434.000.000,51.857.863.900.000,,
Aree verdi,Scuola materna Don Mario d'Alesio,,,,,,673.142.252.000.000,42.758.365.500.000,,
Aree verdi,Scuola Media Statale Amedeo D'Aosta,,,,,,717.013.348.000.000,35.164.124.000.000,,
Aree verdi,Alberata di viale Magna Grecia ( tratto compreso tra via Caldarola e via Peucetia ),,,,,,776.923.742.000.000,77.039.639.900.000,,
Aree verdi,Scuola materna Nicholas Green,,,Via Ardig_x0007_,,,261.381.652.000.000,22.088.063.600.000,,
Aree verdi,Aiuola spartitraffico in via Peucetia,,,,,,197.520.404.000.000,15.789.969.300.000,,
Aree verdi,Aiuole spartitraffico in viale Magna Grecia ang.via Caldarola,,,,,,242.066.306.000.000,57.694.895.600.000,,
Aree verdi,Area parcheggio alberato in via Caldarola ang. via Salapia,,,Via Caldarola - Via Salapia - Via Caduti Partigiani,,,665.030.282.000.000,40.407.990.600.000,,
Aree verdi,Scuola elementare Japigia I - Plesso Don Orione,,,Viale Japigia,,,650.433.011.000.000,34.848.354.800.000,,
Aree verdi,Giardini di piazza San Francesco d'Assisi-Japigia,,,Via Peucetia,,,221.173.297.000.000,19.983.045.100.000,,
Aree verdi,Alberata stradale di piazza S. Francesco d'Assisi,,,Via Viterbo-Via Archita,,,28.342.070.000.000,16.022.048.100.000,,
Aree verdi,Scuola elementare Japigia I - Plesso Peucetia n. 50,,,Via Peucetia,,,594.139.178.000.000,31.011.647.400.000,,
Aree verdi,Sede Multiservizzi s.p.a.,,,,,,646.129.657.000.000,32.864.054.600.000,,
Aree verdi,Scuola Materna Lascito Ranieri,,,,,,400.721.725.000.000,26.023.359.100.000,,
Aree verdi,Asilo nido ex ONMI,,,,,,321.454.736.000.000,23.144.870.300.000,,
Aree verdi,Scuola media Statale Giulio Petroni,,,,,,1.010.098.200.000.000,48.445.730.900.000,,
Aree verdi,Alberata di via Caldarola ( tratto compreso tra viale M. Grecia e Strada Arginale ),,,,,,635.351.088.000.000,163.927.149.900.000,,
Aree verdi,"Aiuole e vasconi in via Gentile (antistanti case ""Parcheggio)",,,,,,659.278.723.000.000,117.765.420.300.000,,
Aree verdi,Giardino in via Toscanini ang.via Gentile,,,,,,292.293.672.000.000,22.159.963.800.000,,
Aree verdi,Giardino in via Loiacono ang. via Caldarola,,,Via Caldarola,,,296.771.636.000.000,23.148.707.600.000,,
Aree verdi,"Parco ""Ecopoli""",,,Via Giustina Rocca,,,4.260.469.369.000.000,87.293.800.800.000,,
Aree verdi,"Scuola materna ""Padre Pio""",,,,,,349.503.680.000.000,25.469.407.800.000,,
Aree verdi,Alberate via Guglielmo Appulo,,,Via Guglielmo Appula,,,1.512.528.425.000.000,92.367.661.400.000,,
Aree verdi,Scuola Media G. Verga,,,,,,1.033.586.174.000.000,62.240.849.500.000,,
Aree verdi,Scuola elementare Rodari,,,,,,972.319.891.000.000,45.072.856.300.000,,
Aree verdi,Aiuole spartitraffico in via Caldarola (presso Istituto Polivalente),,,,,,2.031.642.965.000.000,87.063.871.100.000,,
Aree verdi,Area attrezzata a verde parcheggio Palaflorio (compreso tra le vie Archimede  - G. Rocca e Prezzolini),,,,,,2.613.158.111.000.000,67.092.612.400.000,,
Aree verdi,Aiuola spartitraffico in Largo Colonna-Torre a Mare,,,,,,57.432.367.000.000,11.364.608.200.000,,
Aree verdi,Area attrezzata a verde in via Morelli e Silvati (tratto compreso tra via via Coppa di Bari e il civico 24),,,,,,929.622.069.000.000,117.469.343.300.000,,
Aree verdi,Alberata stradale di via Morelli e Silvati,,,,,,614.654.722.000.000,85.457.814.500.000,,
Aree verdi,Alberata stradale di via Bari,,,Via Bari,,,1.351.699.404.000.000,168.800.116.600.000,,
Aree verdi,Alberata stradale di Largo Leopardi - Torre a Mare,,,,,,121.093.794.000.000,17.193.580.300.000,,
Aree verdi,Alberata stradale della piazza compresa tra via Sei Busi e via Tripoli (Torre a Mare),,,,,,230.757.262.000.000,19.389.416.800.000,,
Aree verdi,Alberata stradale di via Leopardi - Torre a Mare,,,,,,162.782.114.000.000,30.537.480.900.000,,
Aree verdi,Alberata stradale di via Principe di Piemonte,,,via Principe di Piemonte,,,50.209.021.000.000,22.651.784.600.000,,
Aree verdi,Aiuole in via Bari,,,Via Bari,,,340.190.734.000.000,60.765.583.800.000,,
Aree verdi,Area attrezzata a verde di Piazza Mar della Plata - Torre a Mare,,,Piazza Mar del Plata,,,183.663.736.000.000,34.744.553.900.000,,
Aree verdi,"Scuola elementare ""G. Mameli""",,,,,,536.533.447.000.000,35.188.971.700.000,,
Aree verdi,Asilo nido AN/8 - via P. Carabellese,,,,,,200.772.890.000.000,21.055.542.100.000,,
Aree verdi,Scuola Materna Villa Speranza,,,,,,195.093.655.000.000,20.687.234.900.000,,
Aree verdi,Scuola Materna L. Radice,,,,,,441.491.847.000.000,27.338.975.600.000,,
Aree verdi,"Giardini di ""Torre Quetta""",,,Via Abbrescia,,,8.257.906.518.999.990,273.722.150.900.000,,
Aree verdi,Alberata di largo I. Ciaia,,,,,,74.472.518.000.000,14.316.289.100.000,,
Aree verdi,Alberata viale Unita' d'Italia,,,,,,385.281.246.000.000,86.516.431.200.000,,
Aree verdi,Asilo nido Comunale,,,,,,122.754.187.000.000,18.298.709.700.000,,
Aree verdi,Scuola materna ed elementare il Parco,,,,,,157.313.081.000.000,19.630.740.800.000,,
Aree verdi,Scuola elementare e materna Aquaro,,,Via Morelli e Silvati,,,477.166.226.000.000,32.459.714.000.000,,
Aree verdi,Scuola materna ed elementare il Glicine Bianco,,,,,,313.005.737.000.000,24.148.291.700.000,,
Aree verdi,Aree a verde di pertinenza delle case popolari ( comprese tra via G. Fortunato e via G. Salvemini ),,,,,,726.614.241.000.000,87.768.231.100.000,,
Aree verdi,Aree a verde delle case popolari tra via G. Dorso e via Fanelli (Vigna Laura),,,,,,625.036.895.000.000,42.422.143.700.000,,
Aree verdi,Area attrezzata a verde di Piazzale Pugliese lato Nord - Mungivacca,,,,,,590.574.379.000.000,36.918.061.100.000,,
Aree verdi,Scuola materna ed elementare Plesso Mungivacca Piazzale Pugliese,,,,,,335.204.821.000.000,28.207.028.600.000,,
Aree verdi,Scuola elementare Statale Carlo Del Prete,,,,,,490.981.757.000.000,28.488.804.300.000,,
Aree verdi,Scuola media Statale Giovanni Laterza,,,,,,516.620.070.000.000,33.542.148.500.000,,
Aree verdi,Scuola Media Statale Michelangelo,,,,,,829.314.998.000.000,39.451.552.400.000,,
Aree verdi,Parco Due Giugno ( lato nord- aree A e B ),,,Viale della Costituente,,,1.353.367.515.000.000,73.242.361.000.000,,
Aree verdi,Aree a verde di pertinenza delle case popolari ( Comprese tra via G. Salvemi e via Omodeo ),,,,,,476.801.358.000.000,71.565.066.700.000,,
Aree verdi,Scuola elementare Statale Edmondo De Amicis,,,,,,407.186.890.000.000,28.942.035.400.000,,
Aree verdi,Scuola materna Vittorio Veneto,,,,,,125.000.153.000.000,21.878.027.100.000,,
Aree verdi,Scuola elementare e materna Re David,,,,,,499.332.125.000.000,38.350.103.000.000,,
Aree verdi,Scuola media Giuseppe Parini,,,,,,924.780.175.000.000,39.021.039.400.000,,
Aree verdi,Scuola professionale Tridente,,,,,,588.874.366.000.000,32.280.129.000.000,,
Aree verdi,Scuola materna  Monte S. Michele,,,Via Colella,,,190.076.593.000.000,23.918.961.100.000,,
Aree verdi,Scuola elementare Monte San Michele - Plesso E 21,,,,,,609.903.143.000.000,31.768.254.400.000,,
Aree verdi,Scuola elementare - Circolo Re David - Plesso Iqbal Masih,,,Via Omodeo,,,1.035.288.600.000.000,42.408.070.300.000,,
Aree verdi,Scuola Media Gaetano Santomauro,,,,,,557.092.185.000.000,29.846.602.000.000,,
Aree verdi,Giardino in Viale Einaudi ang. via Tridente e aiuole spartitraffico di via Tridente,,,,,,239.254.200.000.000,20.402.385.300.000,,
Aree verdi,Aiuole spartitraffico di Piazza IV Novembre (antistante teatro Margherita),,,,,,67.877.621.000.000,13.628.512.200.000,,
Aree verdi,Giardini di piazza Eroi del Mare (lato via Fiorese),,,,,,470.390.328.000.000,30.615.866.500.000,,
Aree verdi,Giardino Piazzale di Crollalanza,,,,,,304.895.005.000.000,23.778.686.100.000,,
Aree verdi,Giardini di largo Giordano Bruno,,,,,,117.619.243.000.000,15.078.610.900.000,,
Aree verdi,Aiuole spartitraffico di corso Cavour,,,,,,632.155.920.000.000,66.791.683.000.000,,
Aree verdi,Alberata Piazza L. di Savoia e sottovia L. di Savoia,,,,,,1.289.821.836.000.000,119.508.874.200.000,,
Aree verdi,Giardino di piazza Gramsci Ovest,,,Piazza Gramsci,,,1.330.930.586.000.000,44.905.001.800.000,,
Aree verdi,"Giardini di ""Pane e Pomodoro""",,,,,,7.186.068.690.000.000,163.403.713.600.000,,
Aree verdi,Giardino di piazza Balenzano,,,Piazza Balenzano,,,286.547.762.000.000,26.768.265.900.000,,
Aree verdi,Alberata Catino - Strada rurale Caladoria e Strada Catino,,,,,,1.998.804.776.000.000,69.442.751.100.000,,
Aree verdi,Area attrezzata a verde in via J.F. Kennedy,,,,,,747.261.968.000.000,68.401.099.600.000,,
Aree verdi,Alberata via Roma e via Cavour - Loseto,,,,,,334.167.037.000.000,51.264.147.200.000,,
Aree verdi,Alberata di Corso Italia,,,,,,1.940.745.638.000.000,164.189.005.500.000,,
Aree verdi,Giardino del Tribunale - Piazza E. de Nicola,,,,,,396.336.736.000.000,28.173.748.100.000,,
Aree verdi,Alberata di Corso Mazzini,,,,,,2.409.470.411.000.000,124.436.039.300.000,,
Aree verdi,Alberata in Via Crisanzio e Via Martiri d'Otranto,,,,,,225.141.753.000.000,29.781.404.500.000,,
Aree verdi,Giardini di Piazza Garibaldi,,,,,,2.018.805.778.000.000,58.007.717.600.000,,
Aree verdi,Area attrezzata a verde in via J.F. Kennedy angolo via Mauro Amoruso,,,,,,117.847.816.000.000,19.839.199.800.000,,
Aree verdi,Alberata di via Colella,,,Via Colella,,,78.495.822.000.000,14.561.958.900.000,,
Aree verdi,Aree a verde via Crispi,,,,,,626.299.718.000.000,34.927.263.800.000,,
Aree verdi,Alberata di via Tommaso Fiore e via Achille Grandi,,,,,,1.452.546.876.000.000,189.261.139.700.000,,
Aree verdi,Pineta di San Francesco alla Rena,,,Via Respighi,,,8.123.322.890.000.000,130.507.576.000.000,,
Aree verdi,Alberata di via Maratona,,,,,,962.069.095.000.000,128.346.550.400.000,,
Aree verdi,Alberata Lungomare Vittorio Veneto e Lungomare Starita,,,,,,8.428.349.788.000.000,490.411.130.500.000,,
